Course Code,Course Name,Difficulty Estimate
ECO101,Principles of Microeconomics,50
MUN101,Global Innovation,40
RSM100,Introduction to Management,45
STA237,Probability,75
CSC110,Foundations of Computer Science I,70
STA130,An Introduction to Statistical Reasoning and Data Science,60
AST101,The Sun and Its Neighbours,40
CHM135,Chemistry: Physical Principles,70
BIO120,Adaptation and Biodiversity,60
MAT135,Calculus I,65
PHL245,Modern Symbolic Logic,60
MAT223,Linear Algebra I,70
APM346,Partial Differential Equations,90
HPS203,Making Sense of Uncertainty,50
PHY407,Computational Physics,85
PHL273,Environmental Ethics,40
ENV100,Introduction to Environmental Studies,35
CSC111,Foundations of Computer Science II,75
MAT137,Calculus with Proofs,80
MAT223,Linear Algebra I,70
MAT224,Linear Algebra II,75
MAT235,Multivariable Calculus,80
BIO220,From Genomes to Ecosystems in a Changing World,65
BIO260,Concepts in Genetics,70
CHM136,Introduction to Organic Chemistry I,85
NFS284,Basic Human Nutrition,45
ECO102,Principles of Macroeconomics,55
CAR315,Caribbean Foodways Across History,40
HIS250,History of Russia,50
HIS328,Modern China,50
HIS331,Modern Baltic History,50
CSC236,Introduction to the Theory of Computation,80
CSC300,Computers and Society,45
CSC209,Software Tools and Systems Programming,70
CSC258,Computer Organization,75
CSC263,Data Structures and Analysis,80
ENT200,Introduction to Entrepreneurship,40
TRN151,Global Governance,50
POL109,Might and Right: Power and Justice in International Relations,55
TRN152,Justice & Global Conflict,55
GER400,Advanced German 1,65
JSC270,Data Science I,75
HIS103,Strategy and Statecraft: War and Diplomacy in European History,55
APS110,Engineering Chemistry and Materials Science,80
CIV102,Structures & Materials,85
ESC101,Praxis I,60
ESC103,Engineering Mathematics & Computation,80
ESC180,Introduction to Computer Programming,70
ESC194,Calculus I,70
PHY180,Classical Mechanics,75
ECE159,Fundamentals of Electric Circuits,80
ESC102,Praxis II,65
ESC190,Computer Algorithms & Data Structures,80
ESC195,Calculus II,75
MAT185,Linear Algebra,75
MSE160,Molecules and Materials,70
JRE300,Fundamentals of Accounting and Finance,65
JRE420,People Management & Organizational Behaviour,55
AER210,Vector Calculus & Fluid Mechanics,85
CHE260,Thermodynamics,85
ECE253,Digital & Computer Systems,80
ESC203,Engineering and Society,60
MAT292,Ordinary Differential Equations,80
PHY293,Waves and Modern Physics,85
BME205,Fundamentals of Biomedical Engineering,80
ECE259,Electricity and Magnetism,85
ECE289,Probability & Statistics,75
ESC204,Praxis III,65
PHY294,Quantum and Thermal Physics,90
JRE410,Markets & Competitive Strategy,65
APS111,Engineering Strategies & Practice I,60
CIV100,Mechanics,80
MAT186,Calculus I,70
MAT188,Linear Algebra,70
APS105,Computer Fundamentals,65
APS112,Engineering Strategies & Practice II,60
ECE110,Electrical Fundamentals,75
