Course Code,Semester,Campus,Course Average,Course Coordinator,Notes,
CSC108,Fall 2019,UTM,C,,,
GGR111,Fall 2019,UTM,B-,,,
MAT102,Fall 2019,UTM,C+,,,
MAT135,Fall 2019,UTM,C+,,,
RLG101,Fall 2019,UTM,B-,,,
CSC148,Winter 2020,UTM,C,,,
LIN101,Winter 2020,UTM,B,,,
MAT136,Winter 2020,UTM,B,,,
MAT223,Winter 2020,UTM,C+,,,
STA107,Winter 2020,UTM,B-,,,
MAT232,Summer 2020,UTM,B,,,
STA256,Summer 2020,UTM,B,,,
CSC148,Fall 2020,UTM,B-,,,
CSC207,Fall 2020,UTM,B,,,
CSC236,Fall 2020,UTM,C+,,,
CSC209,Winter 2021,UTM,C+,,,
CSC258,Winter 2021,UTM,B,,,
CSC263,Winter 2021,UTM,C,,,
CSC363,Winter 2021,UTM,C+,,,
STA258,Winter 2021,UTM,B,,,
POL112,Summer 2021,UTM,B-,,,
CSC324,Fall 2021,UTM,B-,,,
CSC347,Fall 2021,UTM,B+,,,
CSC369,Fall 2021,UTM,B,,,
CSC373,Fall 2021,UTM,B,,,
CSC301,Winter 2022,UTM,B,,,
CSC309,Winter 2022,UTM,B-,,,
CSC343,Winter 2022,UTM,B+,,,
CSC358,Winter 2022,UTM,B+,,,
CSC384,Winter 2022,UTM,B,,,
SOC100,Winter 2022,UTM,C+,,,
CSC108,Fall 2022,UTM,C+,,,
EDS100,Fall 2022,UTM,B,,,
ISP100,Fall 2022,UTM,B,,,
MAT102,Fall 2022,UTM,B-,Jaimal Thind,,
MAT132,Fall 2022,UTM,C,,,
ANT102,Fall 2022,UTM,C+,,,
MAT135,Fall 2022,UTM,C,Maria Wesslen,,
POL112,Fall 2022,UTM,C+,,,
MAT224,Fall 2022,UTM,D+,,,
SOC100,Fall 2022,UTM,C+,,,
POL113,Fall 2022,UTM,B-,,,
STA215,Fall 2022,UTM,B-,Masoud Ataei,prof was a bit hard to understand but super helpful if you go to OH. his tests are very fair if you work on lecture problems and any practice he posts.,
ERS201,Fall 2022,UTM,C+,Paul Ashwell,content heavy course but if you have good group/lab members its easy to do well,
ENV330,Fall 2022,UTM,B,Monika Havelka,,
