Course Code,Semester,Course Average,Course Name
ECO101,Fall 2022,C+,Principles of Microeconomics
MUN101,Fall 2022,A-,Global Innovation
RSM100,Fall 2022,B-,Introduction to Management
STA237,Fall 2022,C,Probability, Statistics and Data Analysis I
CSC110,Fall 2022,B+,Foundations of Computer Science I
STA130,Fall 2022,B-,An Introduction to Statistical Reasoning and Data Science
AST101,Fall 2022,C+,The Sun and Its Neighbours
CHM135,Fall 2022,B-,Chemistry: Physical Principles
BIO120,Fall 2022,B-,Adaptation and Biodiversity
MAT135,Fall 2022,B-,Calculus I
PHL245,Fall 2022,B-,Modern Symbolic Logic
MAT223,Fall 2022,B,Linear Algebra I
APM346,Fall 2022,C+,Partial Differential Equations
HPS203,Fall 2022,B,Making Sense of Uncertainty
PHY407,Fall 2022,B+,Computational Physics
PHL273,Fall 2022,B-,Environmental Ethics
ENV100,Fall 2022,B,Introduction to Environmental Studies
CSC111,Winter 2023,A-,Foundations of Computer Science II
MAT137,Winter 2023,C,Calculus with Proofs
MAT223,Winter 2023,B-,Linear Algebra I
MAT224,Winter 2023,C+,Linear Algebra II
MAT235,Winter 2023,C+,Multivariable Calculus
BIO220,Winter 2023,B-,From Genomes to Ecosystems in a Changing World
BIO260,Winter 2023,B-,Concepts in Genetics
CHM136,Winter 2023,C+,Introduction to Organic Chemistry I
NFS284,Winter 2023,B,Basic Human Nutrition
ECO102,Winter 2023,C+,Principles of Macroeconomics
CAR315,Winter 2023,A-,Caribbean Foodways Across History, Culture and Diaspora
HIS250,Fall/Winter 2023,C+,History of Russia
HIS328,Winter 2023,B,Modern China
HIS331,Fall 2022,B-,Modern Baltic History
CSC236,Fall 2022,B,Introduction to the Theory of Computation
CSC300,Fall 2022,B+,Computers and Society
CSC209,Winter 2023,B-,Software Tools and Systems Programming
CSC258,Winter 2023,B+,Computer Organization
CSC263,Winter 2023,B,Data Structures and Analysis
ENT200,Winter 2023,B+,Introduction to Entreprenuership
TRN151,Fall 2022 - Winter 2023,A-,Global Governance
POL109,Winter 2023,B,Might and Right: Power and Justice in International Relations
TRN152,Fall 2022 - Winter 2023,B+,Justics & Global Conflict
GER400,Fall 2022,A-,Advanced German 1
JSC270,WInter 2023,A-,Data Science I
HIS103,Fall2022/Winter 2023,B-,Strategy and Statecraft: War and Diplomacy in European History
APS110,Fall 2022,B,Engineering Chemistry and Materials Science
CIV102,Fall 2022,B-,Structures & Materials
ESC101,Fall 2022,B,Praxis I
ESC103,Fall 2022,B-,Engineering Mathematics & Computation
ESC180,Fall 2022,B,Introduction to Computer Programming
ESC194,Fall 2022,B,Calculus I
PHY180,Fall 2022,B+,Classical Mechanics
ECE159,Winter 2023,B,Fundamentals of Electric Circuits
ESC102,Winter 2023,B+,Praxis II
ESC190,Winter 2023,B,Computer Algorithms & Data Structures
ESC195,Winter 2023,B-,Calculus II
